x,y,z
2.288387,2.079392,-2.0
-1.492319,-0.659319,-0.666667
-1.013756,-0.651765,-0.666667
-0.526672,-0.648838,-0.666667
0.434935,-0.668228,-0.666667
-1.428223,0.735303,-0.666667
-0.937195,0.735203,-0.666667
3.00144,0.107037,-0.666667
1.820353,-0.800465,-0.666667
1.357078,-0.724594,-0.666667
0.896884,-0.688183,-0.666667
-3.080764,-0.369636,-0.666667
-1.913918,0.7418,-0.666667
0.067314,0.73592,-0.666667
-2.395854,0.768579,-0.666667
-0.04079,-0.652964,-0.666667
2.253895,-0.935335,-0.666667
2.0,-0.25,-0.666667
-1.966075,-0.701043,-0.666667
-0.437798,0.736265,-0.666667
0.573952,0.732816,-0.666667
1.078758,0.727403,-0.666667
-0.376523,1.220405,-0.666667
1.606223,-1.258471,-0.666667
-0.87554,1.227582,-0.666667
-1.823765,1.225641,-0.666667
-0.560761,-1.049244,-0.666667
1.956076,-1.407528,-0.666667
1.158756,1.200301,-0.666667
0.64271,1.204733,-0.666667
1.5,-0.25,-0.666667
-1.357187,1.229662,-0.666667
1.197846,-1.163668,-0.666667
0.783575,-1.152653,-0.666667
2.91857,-0.428533,-0.666667
-2.869091,0.864512,-0.666667
2.615018,0.688009,-0.666667
-2.414889,-0.842054,-0.666667
2.08625,0.701348,-0.666667
1.58019,0.715867,-0.666667
-0.098098,-1.074822,-0.666667
0.350446,-1.12449,-0.666667
1.0,-0.25,-0.666667
0.0,-0.25,-0.666667
-3.778748,3.274304,-1.333333
-4.206268,2.703204,-1.333333
-4.54816,2.077075,-1.333333
-4.797465,1.408663,-1.333333
-4.949107,0.711574,-1.333333
-5.0,0.0,-1.333333
-4.949107,-0.711574,-1.333333
-4.797465,-1.408663,-1.333333
-4.54816,-2.077075,-1.333333
-4.206268,-2.703204,-1.333333
-3.778748,-3.274304,-1.333333
-3.274304,-3.778748,-1.333333
-2.703204,-4.206268,-1.333333
-2.077075,-4.54816,-1.333333
-1.408663,-4.797465,-1.333333
-0.711574,-4.949107,-1.333333
0.0,-5.0,-1.333333
-3.274304,3.778748,-1.333333
-2.703204,4.206268,-1.333333
-2.077075,4.54816,-1.333333
-1.408663,4.797465,-1.333333
-0.5,-0.25,-0.666667
-1.0,-0.25,-0.666667
-1.5,-0.25,-0.666667
-2.0,-0.25,-0.666667
-2.0,0.25,-0.666667
-1.5,0.25,-0.666667
-1.0,0.25,-0.666667
-0.5,0.25,-0.666667
0.5,-0.25,-0.666667
0.0,0.25,-0.666667
1.0,0.25,-0.666667
1.5,0.25,-0.666667
2.0,0.25,-0.666667
-2.5,-0.25,-0.666667
-2.5,0.25,-0.666667
2.5,0.25,-0.666667
2.5,-0.25,-0.666667
-0.711574,4.949107,-1.333333
0.5,0.25,-0.666667
-1.027417,-1.056879,-0.666667
-1.480771,-1.072215,-0.666667
0.130429,1.211204,-0.666667
2.563028,1.677217,-0.666667
-2.256248,2.090791,-0.666667
-1.942034,-1.974647,-0.666667
1.924316,2.461993,-0.666667
1.989935,-1.868296,-0.666667
-0.609856,2.682491,-0.666667
1.595429,-2.692392,-0.666667
-0.15479,2.656012,-0.666667
-1.508889,2.911901,-0.666667
1.005554,-2.508956,-0.666667
0.291372,-2.776813,-0.666667
1.400211,2.954273,-0.666667
-1.365883,-2.370337,-0.666667
-0.782877,-2.365065,-0.666667
-0.224422,-2.592212,-0.666667
0.826858,2.575,-0.666667
0.331456,2.619504,-0.666667
-2.695893,-1.682384,-0.666667
0.411015,3.129756,-0.666667
-0.404848,-3.107308,-0.666667
0.917166,3.06182,-0.666667
0.55358,-3.779119,-0.666667
-0.531769,-3.686119,-0.666667
0.014713,-3.772595,-0.666667
0.501878,3.686767,-0.666667
-1.761125,-2.33606,-0.666667
1.796544,2.865811,-0.666667
-1.96609,2.715646,-0.666667
-2.658664,1.899709,-0.666667
-2.944696,-1.026694,-0.666667
-2.350016,-2.22785,-0.666667
2.437822,-2.062255,-0.666667
-0.587366,3.179463,-0.666667
0.834477,-3.053554,-0.666667
-1.069462,3.10492,-0.666667
0.491046,-3.352145,-0.666667
0.095169,-3.236109,-0.666667
-0.095203,3.175243,-0.666667
-0.92855,-2.968209,-0.666667
2.288387,2.079392,-0.666667
-2.191235,1.672842,-0.666667
2.275607,-1.632869,-0.666667
3.432266,-0.475276,-0.666667
1.811812,1.698194,-0.666667
-1.516168,-1.474418,-0.666667
-1.038689,-1.451948,-0.666667
1.221415,1.656877,-0.666667
1.401918,-1.664153,-0.666667
-1.769309,1.718682,-0.666667
0.743457,-1.725353,-0.666667
1.71864,-1.784401,-0.666667
2.678023,1.192678,-0.666667
-0.812922,1.731891,-0.666667
-1.301509,1.755756,-0.666667
-0.311385,1.702082,-0.666667
0.701322,1.662127,-0.666667
-0.605673,-1.429219,-0.666667
0.193406,1.678909,-0.666667
-0.192843,-1.502671,-0.666667
2.149162,1.138067,-0.666667
1.66827,1.181031,-0.666667
1.119499,-1.522026,-0.666667
0.711574,-4.949107,-1.333333
-2.684496,1.330255,-0.666667
-3.138387,0.268741,-0.666667
-3.282547,1.058814,-0.666667
-2.12075,-1.412221,-0.666667
2.167356,1.495119,-0.666667
-1.807387,2.227793,-0.666667
1.60579,-2.179652,-0.666667
-0.728553,2.225206,-0.666667
-1.273518,2.362489,-0.666667
0.503136,-2.291262,-0.666667
2.757555,-1.192387,-0.666667
0.756121,2.113571,-0.666667
-0.235772,2.177047,-0.666667
0.024182,-2.115103,-0.666667
1.332367,2.516174,-0.666667
-1.45618,-1.915259,-0.666667
0.258953,2.143151,-0.666667
-0.387174,-1.931873,-0.666667
3.166415,0.600951,-0.666667
3.383042,-0.006641,-0.666667
-0.988633,-1.868452,-0.666667
1.408663,-4.797465,-1.333333
2.077075,-4.54816,-1.333333
2.703204,-4.206268,-1.333333
-3.788719,2.420258,-2.0
-2.182844,-3.043906,-2.0
-1.866497,3.978971,-2.0
-4.263032,1.276829,-2.0
-4.126673,-1.29967,-2.0
2.35141,-3.63969,-2.0
3.443786,-1.722498,-2.0
-3.08019,1.587888,-2.0
-3.757387,1.171629,-2.0
-3.960168,-1.968774,-2.0
3.630549,2.286014,-2.0
3.330122,1.279615,-2.0
-2.654982,2.92019,-2.0
-0.62783,-4.294302,-2.0
1.215859,4.172176,-2.0
3.267286,2.819367,-2.0
-3.898757,-2.488559,-2.0
4.139798,-1.075081,-2.0
-4.375415,0.014846,-2.0
-4.067815,1.87112,-2.0
-4.371283,0.648172,-2.0
-2.944924,3.343194,-2.0
4.218777,1.151006,-2.0
-4.283233,-0.628353,-2.0
2.865364,-3.245418,-2.0
-2.425574,3.697132,-2.0
1.806953,-3.970249,-2.0
-1.275596,4.186705,-2.0
-1.243432,-4.143668,-2.0
1.227044,-4.198949,-2.0
3.736678,0.343733,-2.0
2.362087,3.670592,-2.0
4.540714,-0.64064,-2.0
1.807889,3.967249,-2.0
3.939353,1.7182,-2.0
4.349635,0.519316,-2.0
3.992535,-1.811806,-2.0
4.452677,-0.112754,-2.0
-1.635289,-3.343555,-2.0
-3.777523,0.077377,-2.0
-0.65352,4.308283,-2.0
-3.404588,2.91691,-2.0
3.761039,-2.382747,-2.0
2.022927,-2.160555,-2.0
-1.455891,-2.84185,-2.0
1.573099,3.438123,-2.0
2.003772,-3.143563,-2.0
-1.680047,3.436318,-2.0
2.052603,3.198201,-2.0
-2.513848,1.646003,-2.0
2.920289,-1.839246,-2.0
-2.416737,2.500115,-2.0
-0.611124,3.716066,-2.0
-0.054025,3.734585,-2.0
0.55358,-3.779119,-2.0
-0.531769,-3.686119,-2.0
0.014713,-3.772595,-2.0
0.501878,3.686767,-2.0
-1.761125,-2.33606,-2.0
1.796544,2.865811,-2.0
-1.96609,2.715646,-2.0
1.04944,-3.643529,-2.0
3.360035,-2.845235,-2.0
2.772413,2.422524,-2.0
0.602867,4.293256,-2.0
-3.509258,-1.202243,-2.0
3.083237,1.921133,-2.0
-1.083277,-3.544591,-2.0
1.049667,3.596147,-2.0
1.548185,-3.460557,-2.0
-1.163758,3.617581,-2.0
-3.076043,2.580826,-2.0
3.043662,-2.389439,-2.0
-3.274386,-2.035666,-2.0
-2.178875,3.203837,-2.0
-1.948003,-2.626458,-2.0
2.422343,2.844114,-2.0
-2.695,-2.615214,-2.0
-3.40996,2.171711,-2.0
3.421382,-2.161486,-2.0
-0.023516,4.342879,-2.0
0.623947,-4.332443,-2.0
-0.003712,-4.358852,-2.0
2.479209,-2.692234,-2.0
-0.054025,3.734585,-0.666667
2.844599,3.284146,-2.0
-2.972184,-3.161403,-2.0
-3.274304,3.778748,-0.666667
-3.778748,3.274304,-0.666667
-4.206268,2.703204,-0.666667
-4.54816,2.077075,-0.666667
-4.797465,1.408663,-0.666667
-4.949107,0.711574,-0.666667
-5.0,0.0,-0.666667
-4.949107,-0.711574,-0.666667
-4.797465,-1.408663,-0.666667
-4.54816,-2.077075,-0.666667
-4.206268,-2.703204,-0.666667
-3.778748,-3.274304,-0.666667
-3.274304,-3.778748,-0.666667
-2.703204,-4.206268,-0.666667
-2.077075,-4.54816,-0.666667
-1.408663,-4.797465,-0.666667
-0.711574,-4.949107,-0.666667
-2.703204,4.206268,-0.666667
-2.077075,4.54816,-0.666667
-1.408663,4.797465,-0.666667
-0.711574,4.949107,-0.666667
3.274304,-3.778748,-1.333333
3.778748,-3.274304,-1.333333
4.206268,-2.703204,-1.333333
4.54816,-2.077075,-1.333333
4.797465,-1.408663,-1.333333
4.949107,-0.711574,-1.333333
5.0,0.0,-1.333333
4.949107,0.711574,-1.333333
0.0,-5.0,-0.666667
4.797465,1.408663,-1.333333
4.206268,2.703204,-1.333333
3.778748,3.274304,-1.333333
3.274304,3.778748,-1.333333
2.703204,4.206268,-1.333333
2.077075,4.54816,-1.333333
1.408663,4.797465,-1.333333
0.711574,4.949107,-1.333333
0.0,5.0,-1.333333
4.54816,2.077075,-1.333333
0.711574,-4.949107,-0.666667
1.408663,-4.797465,-0.666667
2.077075,-4.54816,-0.666667
1.666247,2.068087,-2.0
0.238196,-1.620746,-2.0
1.186739,-2.045128,-2.0
1.334156,-3.067278,-2.0
-2.817553,2.246865,-2.0
-3.116756,2.008358,-2.0
2.038821,-2.507123,-2.0
-3.600551,1.698581,-2.0
-0.974381,2.723954,-2.0
-1.858972,-1.056061,-2.0
3.446317,-1.121137,-2.0
-3.430756,0.642686,-2.0
-2.267967,1.241369,-2.0
-3.664962,-0.517915,-2.0
3.937617,-0.328405,-2.0
3.769315,0.942775,-2.0
-1.845832,-3.90531,-2.0
-2.430045,-3.573591,-2.0
-3.843571,0.620264,-2.0
-3.480271,-2.738945,-2.0
1.245018,2.088711,-2.0
0.0,5.0,-0.666667
2.703204,-4.206268,-0.666667
3.274304,-3.778748,-0.666667
3.778748,-3.274304,-0.666667
4.206268,-2.703204,-0.666667
4.54816,-2.077075,-0.666667
4.797465,-1.408663,-0.666667
4.949107,-0.711574,-0.666667
5.0,0.0,-0.666667
-0.652662,-1.746272,-2.0
4.949107,0.711574,-0.666667
4.54816,2.077075,-0.666667
4.206268,2.703204,-0.666667
3.778748,3.274304,-0.666667
3.274304,3.778748,-0.666667
2.703204,4.206268,-0.666667
2.077075,4.54816,-0.666667
1.408663,4.797465,-0.666667
0.711574,4.949107,-0.666667
4.797465,1.408663,-0.666667
-2.658664,1.899709,-2.0
1.04944,-3.643529,-0.666667
2.920289,-1.839246,-0.666667
2.437822,-2.062255,-1.333333
-0.587366,3.179463,-1.333333
0.834477,-3.053554,-1.333333
-1.069462,3.10492,-1.333333
0.491046,-3.352145,-1.333333
0.095169,-3.236109,-1.333333
-0.095203,3.175243,-1.333333
-0.92855,-2.968209,-1.333333
0.917166,3.06182,-1.333333
-0.404848,-3.107308,-1.333333
0.411015,3.129756,-1.333333
-2.695893,-1.682384,-1.333333
2.563028,1.677217,-1.333333
-2.256248,2.090791,-1.333333
-1.942034,-1.974647,-1.333333
1.924316,2.461993,-1.333333
1.989935,-1.868296,-1.333333
2.288387,2.079392,-1.333333
-2.350016,-2.22785,-1.333333
-2.658664,1.899709,-1.333333
-1.96609,2.715646,-1.333333
-2.416737,2.500115,-1.333333
2.022927,-2.160555,-1.333333
-1.455891,-2.84185,-1.333333
1.573099,3.438123,-1.333333
2.003772,-3.143563,-1.333333
-1.680047,3.436318,-1.333333
2.052603,3.198201,-1.333333
-2.513848,1.646003,-1.333333
-0.609856,2.682491,-1.333333
2.920289,-1.839246,-1.333333
1.04944,-3.643529,-1.333333
-0.054025,3.734585,-1.333333
0.55358,-3.779119,-1.333333
-0.531769,-3.686119,-1.333333
0.014713,-3.772595,-1.333333
0.501878,3.686767,-1.333333
-1.761125,-2.33606,-1.333333
1.796544,2.865811,-1.333333
-0.611124,3.716066,-1.333333
2.772413,2.422524,-1.333333
1.595429,-2.692392,-1.333333
-1.508889,2.911901,-1.333333
-0.235772,2.177047,-1.333333
0.024182,-2.115103,-1.333333
1.332367,2.516174,-1.333333
-1.45618,-1.915259,-1.333333
0.258953,2.143151,-1.333333
-0.387174,-1.931873,-1.333333
3.166415,0.600951,-1.333333
3.383042,-0.006641,-1.333333
-3.138387,0.268741,-1.333333
2.757555,-1.192387,-1.333333
-2.684496,1.330255,-1.333333
2.678023,1.192678,-1.333333
1.811812,1.698194,-1.333333
-1.516168,-1.474418,-1.333333
-1.038689,-1.451948,-1.333333
1.221415,1.656877,-1.333333
1.401918,-1.664153,-1.333333
-0.988633,-1.868452,-1.333333
0.756121,2.113571,-1.333333
0.503136,-2.291262,-1.333333
-1.273518,2.362489,-1.333333
1.005554,-2.508956,-1.333333
0.291372,-2.776813,-1.333333
1.400211,2.954273,-1.333333
-1.365883,-2.370337,-1.333333
-0.782877,-2.365065,-1.333333
-0.224422,-2.592212,-1.333333
0.826858,2.575,-1.333333
0.331456,2.619504,-1.333333
-0.15479,2.656012,-1.333333
-2.944696,-1.026694,-1.333333
2.275607,-1.632869,-1.333333
3.432266,-0.475276,-1.333333
-3.282547,1.058814,-1.333333
-2.12075,-1.412221,-1.333333
2.167356,1.495119,-1.333333
-1.807387,2.227793,-1.333333
1.60579,-2.179652,-1.333333
-0.728553,2.225206,-1.333333
-2.191235,1.672842,-1.333333
-3.274386,-2.035666,-1.333333
0.602867,4.293256,-1.333333
-0.003712,-4.358852,-1.333333
3.360035,-2.845235,-1.333333
-2.944924,3.343194,-1.333333
4.218777,1.151006,-1.333333
-4.283233,-0.628353,-1.333333
2.865364,-3.245418,-1.333333
-2.425574,3.697132,-1.333333
1.806953,-3.970249,-1.333333
-1.275596,4.186705,-1.333333
-1.243432,-4.143668,-1.333333
3.736678,0.343733,-1.333333
-3.777523,0.077377,-1.333333
2.362087,3.670592,-1.333333
4.540714,-0.64064,-1.333333
1.807889,3.967249,-1.333333
3.939353,1.7182,-1.333333
4.349635,0.519316,-1.333333
3.992535,-1.811806,-1.333333
2.844599,3.284146,-1.333333
-3.480271,-2.738945,-1.333333
-2.972184,-3.161403,-1.333333
-2.430045,-3.573591,-1.333333
-0.974381,2.723954,-1.333333
1.666247,2.068087,-1.333333
0.238196,-1.620746,-1.333333
1.186739,-2.045128,-1.333333
1.334156,-3.067278,-1.333333
-2.817553,2.246865,-1.333333
-3.116756,2.008358,-1.333333
2.038821,-2.507123,-1.333333
4.452677,-0.112754,-1.333333
-3.600551,1.698581,-1.333333
-3.843571,0.620264,-1.333333
3.446317,-1.121137,-1.333333
-3.430756,0.642686,-1.333333
-2.267967,1.241369,-1.333333
-3.664962,-0.517915,-1.333333
3.937617,-0.328405,-1.333333
3.769315,0.942775,-1.333333
-1.845832,-3.90531,-1.333333
-1.858972,-1.056061,-1.333333
-1.635289,-3.343555,-1.333333
-4.371283,0.648172,-1.333333
-4.067815,1.87112,-1.333333
3.761039,-2.382747,-1.333333
-3.509258,-1.202243,-1.333333
3.083237,1.921133,-1.333333
-1.083277,-3.544591,-1.333333
1.049667,3.596147,-1.333333
1.548185,-3.460557,-1.333333
-1.163758,3.617581,-1.333333
-3.076043,2.580826,-1.333333
-3.404588,2.91691,-1.333333
3.043662,-2.389439,-1.333333
2.479209,-2.692234,-1.333333
-1.948003,-2.626458,-1.333333
2.422343,2.844114,-1.333333
-2.695,-2.615214,-1.333333
-3.40996,2.171711,-1.333333
3.421382,-2.161486,-1.333333
-0.023516,4.342879,-1.333333
0.623947,-4.332443,-1.333333
-2.178875,3.203837,-1.333333
-1.769309,1.718682,-1.333333
-0.65352,4.308283,-1.333333
-3.898757,-2.488559,-1.333333
-4.375415,0.014846,-1.333333
4.139798,-1.075081,-1.333333
-3.788719,2.420258,-1.333333
-2.182844,-3.043906,-1.333333
-1.866497,3.978971,-1.333333
-4.263032,1.276829,-1.333333
-4.126673,-1.29967,-1.333333
2.35141,-3.63969,-1.333333
1.227044,-4.198949,-1.333333
3.443786,-1.722498,-1.333333
-3.757387,1.171629,-1.333333
-3.960168,-1.968774,-1.333333
3.630549,2.286014,-1.333333
3.330122,1.279615,-1.333333
-2.654982,2.92019,-1.333333
-0.62783,-4.294302,-1.333333
1.215859,4.172176,-1.333333
3.267286,2.819367,-1.333333
-3.08019,1.587888,-1.333333
0.743457,-1.725353,-1.333333
1.71864,-1.784401,-1.333333
-0.812922,1.731891,-1.333333
4.540714,-0.64064,-0.666667
1.807889,3.967249,-0.666667
3.939353,1.7182,-0.666667
4.349635,0.519316,-0.666667
3.992535,-1.811806,-0.666667
4.452677,-0.112754,-0.666667
-1.635289,-3.343555,-0.666667
-4.371283,0.648172,-0.666667
-4.067815,1.87112,-0.666667
-4.375415,0.014846,-0.666667
4.139798,-1.075081,-0.666667
-3.788719,2.420258,-0.666667
-2.182844,-3.043906,-0.666667
-1.866497,3.978971,-0.666667
-4.263032,1.276829,-0.666667
-4.126673,-1.29967,-0.666667
2.35141,-3.63969,-0.666667
2.362087,3.670592,-0.666667
-3.777523,0.077377,-0.666667
3.736678,0.343733,-0.666667
-1.243432,-4.143668,-0.666667
-3.430756,0.642686,-0.666667
-2.267967,1.241369,-0.666667
-3.664962,-0.517915,-0.666667
3.937617,-0.328405,-0.666667
3.769315,0.942775,-0.666667
-1.845832,-3.90531,-0.666667
-2.430045,-3.573591,-0.666667
-2.972184,-3.161403,-0.666667
3.443786,-1.722498,-0.666667
-3.480271,-2.738945,-0.666667
3.360035,-2.845235,-0.666667
-2.944924,3.343194,-0.666667
4.218777,1.151006,-0.666667
-4.283233,-0.628353,-0.666667
2.865364,-3.245418,-0.666667
-2.425574,3.697132,-0.666667
1.806953,-3.970249,-0.666667
-1.275596,4.186705,-0.666667
2.844599,3.284146,-0.666667
-3.08019,1.587888,-0.666667
-3.757387,1.171629,-0.666667
-3.960168,-1.968774,-0.666667
2.422343,2.844114,-0.666667
-2.695,-2.615214,-0.666667
-3.40996,2.171711,-0.666667
3.421382,-2.161486,-0.666667
-0.023516,4.342879,-0.666667
0.623947,-4.332443,-0.666667
-0.003712,-4.358852,-0.666667
0.602867,4.293256,-0.666667
-1.948003,-2.626458,-0.666667
-3.274386,-2.035666,-0.666667
-2.416737,2.500115,-0.666667
2.022927,-2.160555,-0.666667
-1.455891,-2.84185,-0.666667
1.573099,3.438123,-0.666667
2.003772,-3.143563,-0.666667
-1.680047,3.436318,-0.666667
2.052603,3.198201,-0.666667
-2.513848,1.646003,-0.666667
2.772413,2.422524,-0.666667
3.446317,-1.121137,-0.666667
2.479209,-2.692234,-0.666667
3.043662,-2.389439,-0.666667
3.630549,2.286014,-0.666667
3.330122,1.279615,-0.666667
-2.654982,2.92019,-0.666667
-0.62783,-4.294302,-0.666667
1.215859,4.172176,-0.666667
3.267286,2.819367,-0.666667
-3.898757,-2.488559,-0.666667
